# Process Names: python,,,,
# CPU Cores: 12,,,,
# Total System RAM (MB): 64026,,,,
# GPU Model: NVIDIA GeForce RTX 2080 SUPER,,,,
# Total GPU Memory (MiB): 8192,,,,
Time,PID,CPU_Usage(%),Memory_Usage(%),GPU_Mem_Used_by_PID(MiB)
14:04:18,836,0,0,0
14:04:18,981,0,0,0
14:04:18,37952,0,0,0
14:04:18,38204,0,1.2,0
14:04:18,1637377,0,0,0
14:04:19,836,0,0,0
14:04:19,981,0,0,0
14:04:19,37952,0,0,0
14:04:19,38204,0,1.2,0
14:04:19,1637377,0,0,0
14:04:20,836,0,0,0
14:04:20,981,0,0,0
14:04:20,37952,0,0,0
14:04:20,38204,0,1.2,0
14:04:20,1637377,0.3,0,0
14:04:21,836,0,0,0
14:04:21,981,0,0,0
14:04:21,37952,0,0,0
14:04:21,38204,0,1.2,0
14:04:21,1637377,0.5,0,0
14:04:23,836,0,0,0
14:04:23,981,0,0,0
14:04:23,37952,0,0,0
14:04:23,38204,0,1.2,0
14:04:23,1637377,0.4,0,0
14:04:24,836,0,0,0
14:04:24,981,0,0,0
14:04:24,37952,0,0,0
14:04:24,38204,0,1.2,0
14:04:24,1637377,0.4,0,0
14:04:25,836,0,0,0
14:04:25,981,0,0,0
14:04:25,37952,0,0,0
14:04:25,38204,0,1.2,0
14:04:25,1637377,0.3,0,0
14:04:25,1637776,62,0.1,0
14:04:27,836,0,0,0
14:04:27,981,0,0,0
14:04:27,37952,0,0,0
14:04:27,38204,0,1.2,0
14:04:27,1637377,0.4,0,0
14:04:27,1637776,72.5,0.2,0
14:04:28,836,0,0,0
14:04:28,981,0,0,0
14:04:28,37952,0,0,0
14:04:28,38204,0,1.2,0
14:04:28,1637377,0.3,0,0
14:04:28,1637776,58,0.3,0
14:04:29,836,0,0,0
14:04:29,981,0,0,0
14:04:29,37952,0,0,0
14:04:29,38204,0,1.2,0
14:04:29,1637377,0.5,0,0
14:04:29,1637776,70.2,0.4,0
14:04:31,836,0,0,0
14:04:31,981,0,0,0
14:04:31,37952,0,0,0
14:04:31,38204,0,1.2,0
14:04:31,1637377,0.4,0,0
14:04:31,1637776,80.8,0.4,0
14:04:32,836,0,0,0
14:04:32,981,0,0,0
14:04:32,37952,0,0,0
14:04:32,38204,0,1.2,0
14:04:32,1637377,0.4,0,0
14:04:32,1637776,99,1.3,0
14:04:33,836,0,0,0
14:04:33,981,0,0,0
14:04:33,37952,0,0,0
14:04:33,38204,0,1.2,0
14:04:33,1637377,0.4,0,0
14:04:33,1637776,128,2.2,0
14:04:33,1638238,1,0,0
14:04:35,836,0,0,0
14:04:35,981,0,0,0
14:04:35,37952,0,0,0
14:04:35,38204,0,1.2,0
14:04:35,1637377,0.4,0,0
14:04:35,1637776,149,2,0
14:04:35,1638238,0.5,0,0
14:04:36,836,0,0,0
14:04:36,981,0,0,0
14:04:36,37952,0,0,0
14:04:36,38204,0,1.2,0
14:04:36,1637377,0.4,0,0
14:04:36,1637776,193,2,0
14:04:36,1638238,0.2,0,0
14:04:37,836,0,0,0
14:04:37,981,0,0,0
14:04:37,37952,0,0,0
14:04:37,38204,0,1.2,0
14:04:37,1637377,0.4,0,0
14:04:37,1637776,242,2,0
14:04:37,1638238,0.2,0,0
14:04:39,836,0,0,0
14:04:39,981,0,0,0
14:04:39,37952,0,0,0
14:04:39,38204,0,1.2,0
14:04:39,1637377,0.4,0,0
