# Process Names: python3 .*mri.*,,,,,
# CPU Cores: 12,,,,,
# Total System RAM (MB): 64026,,,,,
# GPU Model: NVIDIA GeForce RTX 2080 SUPER,,,,,
# Total GPU Memory (MiB): 8192,,,,,
Time,Process_Name,PID,CPU_Usage(%),Memory_Usage(%),GPU_Mem_Used_by_PID(MiB)
12:11:06,python3,836,0,0,0
12:11:06,python3,981,0,0,0
12:11:06,python3,2847990,0,0,0
12:11:06,.*mri.*,2847990,0,0,0
12:11:07,python3,836,0,0,0
12:11:07,python3,981,0,0,0
12:11:07,python3,2847990,0.5,0,0
12:11:07,.*mri.*,2847990,0.5,0,0
12:11:08,python3,836,0,0,0
12:11:08,python3,981,0,0,0
12:11:08,python3,2847990,0.3,0,0
12:11:08,.*mri.*,2847990,0.3,0,0
12:11:10,python3,836,0,0,0
12:11:10,python3,981,0,0,0
12:11:10,python3,2847990,0.4,0,0
12:11:10,python3,2848307,1,0,0
12:11:10,.*mri.*,2847990,0.4,0,0
12:11:10,.*mri.*,2848307,1,0,0
12:11:11,python3,836,0,0,0
12:11:11,python3,981,0,0,0
12:11:11,python3,2847990,0.3,0,0
12:11:11,.*mri.*,2847990,0.5,0,0
12:11:13,python3,836,0,0,0
12:11:13,python3,981,0,0,0
12:11:13,python3,2847990,0.4,0,0
12:11:13,python3,2848600,0,0,0
12:11:13,.*mri.*,2847990,0.4,0,0
12:11:13,.*mri.*,2848590,0,0,0
12:11:13,.*mri.*,2848599,0,0,0
12:11:13,.*mri.*,2848600,0,0.1,0
12:11:14,python3,836,0,0,0
12:11:14,python3,981,0,0,0
12:11:14,python3,2847990,0.4,0,0
12:11:14,python3,2848600,105,0.4,0
12:11:14,.*mri.*,2847990,0.4,0,0
12:11:14,.*mri.*,2848590,0,0,0
12:11:14,.*mri.*,2848599,0,0,0
12:11:14,.*mri.*,2848600,120,0.4,0
12:11:15,python3,836,0,0,0
12:11:15,python3,981,0,0,0
12:11:15,python3,2847990,0.5,0,0
12:11:15,python3,2848600,120,0.5,0
12:11:15,.*mri.*,2847990,0.5,0,0
12:11:15,.*mri.*,2848590,0,0,0
12:11:15,.*mri.*,2848599,0,0,0
12:11:15,.*mri.*,2848600,129,0.5,0
12:11:17,python3,836,0,0,0
12:11:17,python3,981,0,0,0
12:11:17,python3,2847990,0.5,0,0
12:11:17,python3,2848600,102,0.5,0
12:11:17,.*mri.*,2847990,0.5,0,0
12:11:17,.*mri.*,2848590,0,0,0
12:11:17,.*mri.*,2848599,0,0,0
12:11:17,.*mri.*,2848600,106,0.5,0
12:11:18,python3,836,0,0,0
12:11:18,python3,981,0,0,0
12:11:18,python3,2847990,0.5,0,0
12:11:18,python3,2848600,122,0.6,0
12:11:18,.*mri.*,2847990,0.5,0,0
12:11:18,.*mri.*,2848590,0,0,0
12:11:18,.*mri.*,2848599,0,0,0
12:11:18,.*mri.*,2848600,129,0.6,0
12:11:20,python3,836,0,0,0
12:11:20,python3,981,0,0,0
12:11:20,python3,2847990,0.4,0,0
12:11:20,python3,2848600,143,3.4,0
12:11:20,.*mri.*,2847990,0.5,0,0
12:11:20,.*mri.*,2848590,0,0,0
12:11:20,.*mri.*,2848599,0,0,0
12:11:20,.*mri.*,2848600,165,4.2,0
12:11:21,python3,836,0,0,0
12:11:21,python3,981,0,0,0
12:11:21,python3,2847990,0.5,0,0
12:11:21,python3,2848600,218,2.4,0
12:11:21,.*mri.*,2847990,0.5,0,0
12:11:21,.*mri.*,2848590,0,0,0
12:11:21,.*mri.*,2848599,0,0,0
12:11:21,.*mri.*,2848600,235,2.5,0
12:11:23,python3,836,0,0,0
12:11:23,python3,981,0,0,0
12:11:23,python3,2847990,0.5,0,0
12:11:23,python3,2848600,262,2.9,0
12:11:23,.*mri.*,2847990,0.5,0,0
12:11:23,.*mri.*,2848590,0,0,0
12:11:23,.*mri.*,2848599,0,0,0
12:11:23,.*mri.*,2848600,273,4.7,0
12:11:24,python3,836,0,0,0
12:11:24,python3,981,0,0,0
12:11:24,python3,2847990,0.5,0,0
12:11:24,python3,2848600,323,8.9,0
12:11:24,.*mri.*,2847990,0.5,0,0
12:11:24,.*mri.*,2848590,0,0,0
12:11:24,.*mri.*,2848599,0,0,0
