# Process Name: python3,,,,
# CPU Cores: 12,,,,
# Total System RAM (MB): 64026,,,,
# GPU Model: NVIDIA GeForce RTX 2080 SUPER,,,,
# Total GPU Memory (MiB): 8192,,,,
Time,PID,CPU_Usage(%),Memory_Usage(%),GPU_Mem_Used_by_PID(MiB)
14:33:14,1885621,81,0.5,0
14:33:15,1885752,137,0.3,0
14:33:16,1885752,122,0.6,0
14:33:17,1885752,127,0.7,0
14:33:19,1885752,111,0.7,0
14:33:20,1885752,87.5,0.8,0
14:33:21,1885752,93.8,1.6,890
14:33:22,1885752,112,1.6,1098
14:33:23,1885752,112,1.8,1350
14:33:24,1885752,112,1.8,1912
14:33:25,1885752,112,1.8,1912
14:33:27,1885752,113,1.8,1912
14:33:28,1885752,105,1.8,1912
14:33:29,1885752,105,1.8,1912
14:33:30,1885752,106,1.8,1912
14:33:31,1885752,106,1.8,1912
14:33:32,1885752,107,1.8,1912
14:33:33,1885752,107,1.8,1912
14:33:35,1885752,107,1.8,1912
14:33:36,1885752,103,1.8,1912
14:33:37,1885752,103,1.8,1912
14:33:38,1885752,104,1.8,1912
14:33:39,1885752,104,1.8,1912
14:33:40,1885752,105,1.8,1912
14:33:41,1885752,105,1.8,1528
14:33:43,1885752,105,2,1978
14:33:44,1885752,104,2.8,1978
14:33:45,1885752,110,2.8,1978
14:33:46,1885752,110,2.1,2776
14:33:47,1885752,110,2.1,2776
14:33:48,1885752,110,2.1,2776
14:33:49,1885752,110,2.1,2776
14:33:51,1885752,111,2.1,2776
14:33:52,1885752,108,2.1,2776
14:33:53,1885752,108,2.1,2776
14:33:54,1885752,108,2.1,2776
14:33:55,1885752,108,2.1,2776
14:33:56,1885752,108,2.1,2776
14:33:57,1885752,108,2.1,2776
14:33:59,1885752,109,2.1,2776
14:34:00,1885752,106,2.1,2776
14:34:01,1885752,106,2.1,2776
14:34:02,1885752,107,2.1,2776
14:34:03,1885752,107,2.1,2776
14:34:04,1885752,107,2.1,2776
14:34:05,1885752,107,2.1,2776
14:34:07,1885752,107,2.1,2776
14:34:08,1885752,105,2.1,2776
14:34:09,1885752,105,2.1,2776
14:34:10,1885752,106,2.1,2776
14:34:11,1885752,106,2.1,2776
14:34:12,1885752,106,2.1,2776
14:34:13,1885752,106,2.1,2776
14:34:15,1885752,104,2.1,2776
14:34:16,1885752,105,2.1,2776
14:34:17,1885752,105,2.1,2776
14:34:18,1885752,105,2.1,2776
14:34:19,1885752,105,2.1,2776
14:34:20,1885752,105,2.1,2776
14:34:21,1885752,105,2.1,2776
14:34:23,1885752,104,2.1,2776
14:34:24,1885752,104,2.1,2776
14:34:25,1885752,104,2.1,2776
14:34:26,1885752,104,2.1,2776
14:34:27,1885752,104,2.1,2776
14:34:28,1885752,105,2.1,2776
14:34:29,1885752,105,2.1,2776
14:34:31,1885752,103,2.1,2776
14:34:32,1885752,104,2.1,2776
14:34:33,1885752,104,2.1,2776
14:34:34,1885752,104,2.1,3436
14:34:35,1885752,103,2.2,3436
14:34:36,1885752,104,3.1,3436
14:34:37,1885752,105,2.3,3436
14:34:39,1885752,106,2.2,3436
14:34:40,1885752,105,2.2,3436
14:34:41,1885752,105,2.2,3436
14:34:42,1885752,106,2.2,3436
14:34:43,1885752,106,2.2,3436
14:34:44,1885752,106,2.2,3436
14:34:45,1885752,106,2.2,3436
14:34:47,1885752,106,2.2,3436
14:34:48,1885752,105,2.2,3436
14:34:49,1885752,105,2.2,3436
14:34:50,1885752,105,2.2,3436
14:34:51,1885752,105,2.2,3436
14:34:52,1885752,105,2.2,3436
14:34:53,1885752,105,2.2,3436
14:34:55,1885752,104,2.2,3436
14:34:56,1885752,104,2.2,3436
