# Process Names: python3 MCR Main thread,,,,,
# CPU Cores: 12,,,,,
# Total System RAM (MB): 64026,,,,,
# GPU Model: NVIDIA GeForce RTX 2080 SUPER,,,,,
# Total GPU Memory (MiB): 8192,,,,,
Time,Process_Name,PID,CPU_Usage(%),Memory_Usage(%),GPU_Mem_Used_by_PID(MiB)
14:56:11,python3,961,0,0,0
14:56:11,python3,1127,0,0,0
14:56:11,python3,4411,0,0,0
14:56:11,python3,1903016,0,0,0
14:56:11,MCR Main thread,1903016,0,0,0
14:56:12,python3,961,0,0,0
14:56:12,python3,1127,0,0,0
14:56:12,python3,4411,0,0,0
14:56:12,python3,1903016,0.5,0,0
14:56:12,MCR Main thread,1903016,0.5,0,0
14:56:15,python3,961,0,0,0
14:56:15,python3,1127,0,0,0
14:56:15,python3,4411,0,0,0
14:56:15,python3,1903016,0.5,0,0
14:56:15,MCR Main thread,1903016,0.5,0,0
14:56:17,python3,961,0,0,0
14:56:17,python3,1127,0,0,0
14:56:17,python3,4411,0,0,0
14:56:17,python3,1903016,0.5,0,0
14:56:17,MCR Main thread,1903016,0.5,0,0
14:56:18,python3,961,0,0,0
14:56:18,python3,1127,0,0,0
14:56:18,python3,4411,0,0,0
14:56:18,python3,1903016,0.5,0,0
14:56:18,MCR Main thread,1903016,0.5,0,0
14:56:20,python3,961,0,0,0
14:56:20,python3,1127,0,0,0
14:56:20,python3,4411,0,0,0
14:56:20,python3,1903016,0.4,0,0
14:56:20,MCR Main thread,1903016,0.4,0,0
14:56:21,python3,961,0,0,0
14:56:21,python3,1127,0,0,0
14:56:21,python3,4411,0,0,0
14:56:21,python3,1903016,0.4,0,0
14:56:21,MCR Main thread,1903016,0.5,0,0
14:56:23,python3,961,0,0,0
14:56:23,python3,1127,0,0,0
14:56:23,python3,4411,0,0,0
14:56:23,python3,1903016,0.5,0,0
14:56:23,MCR Main thread,1903016,0.5,0,0
14:56:25,python3,961,0,0,0
14:56:25,python3,1127,0,0,0
14:56:25,python3,4411,0,0,0
14:56:25,python3,1903016,0.5,0,0
14:56:25,MCR Main thread,1903016,0.5,0,0
14:56:28,python3,961,0,0,0
14:56:28,python3,1127,0,0,0
14:56:28,python3,4411,0,0,0
14:56:28,python3,1903016,0.4,0,0
14:56:28,MCR Main thread,1903016,0.5,0,0
14:56:30,python3,961,0,0,0
14:56:30,python3,1127,0,0,0
14:56:30,python3,4411,0,0,0
14:56:30,python3,1903016,0.4,0,0
14:56:30,MCR Main thread,1903016,0.5,0,0
14:56:32,python3,961,0,0,0
14:56:32,python3,1127,0,0,0
14:56:32,python3,4411,0,0,0
14:56:32,python3,1903016,0.5,0,0
14:56:32,MCR Main thread,1903016,0.5,0,0
14:56:34,python3,961,0,0,0
14:56:34,python3,1127,0,0,0
14:56:34,python3,4411,0,0,0
14:56:34,python3,1903016,0.4,0,0
14:56:34,MCR Main thread,1903016,0.5,0,0
14:56:36,python3,961,0,0,0
14:56:36,python3,1127,0,0,0
14:56:36,python3,4411,0,0,0
14:56:36,python3,1903016,0.4,0,0
14:56:36,MCR Main thread,1903016,0.4,0,0
14:56:37,python3,961,0,0,0
14:56:37,python3,1127,0,0,0
14:56:37,python3,4411,0,0,0
14:56:37,python3,1903016,0.5,0,0
14:56:37,MCR Main thread,1903016,0.4,0,0
14:56:39,python3,961,0,0,0
14:56:39,python3,1127,0,0,0
14:56:39,python3,4411,0,0,0
14:56:39,python3,1903016,0.5,0,0
14:56:39,MCR Main thread,1903016,0.5,0,0
14:56:40,python3,961,0,0,0
14:56:40,python3,1127,0,0,0
14:56:40,python3,4411,0,0,0
